id,from_id,to_id,exposure
0,11175,29713,CASUAL
1,1495,23150,DISTANT
2,40917,65238,DISTANT
3,10147,68386,DISTANT
4,53383,43396,CLOSE
5,57270,32683,CASUAL
6,46356,39660,CASUAL
7,16445,56935,CASUAL
8,17265,7888,CLOSE
9,42065,48156,CLOSE
10,12335,68103,CASUAL
11,69224,86537,CASUAL
12,12250,1929,DISTANT
13,84016,61419,CASUAL
14,15650,39326,CASUAL
15,67102,13781,CASUAL
16,2677,90055,CASUAL
17,9218,8309,DISTANT
18,73774,35024,DISTANT
19,23746,40925,CASUAL
20,56603,37418,CLOSE
21,36883,79072,CASUAL
22,9998,1916,CLOSE
23,83766,94999,CLOSE
24,49463,71588,DISTANT
25,57511,89336,CASUAL
26,7065,5599,DISTANT
27,39215,51657,DISTANT
28,68926,68154,CASUAL
29,68509,42723,CLOSE
30,15914,93278,CLOSE
31,34982,58153,CASUAL
32,6874,24915,CASUAL
33,36714,75158,CLOSE
34,88355,20897,DISTANT
35,72772,97809,CASUAL
36,14550,49721,DISTANT
37,37926,71212,DISTANT
38,27048,24949,CASUAL
39,46203,48740,CLOSE
40,56552,37720,DISTANT
41,79380,26554,DISTANT
42,51831,70612,CLOSE
43,69302,57055,CASUAL
44,79981,98239,CASUAL
45,71687,29006,CASUAL
46,14777,18245,DISTANT
47,53792,81401,DISTANT
48,85701,86038,DISTANT
49,19747,78365,CASUAL
50,87418,75944,CLOSE
51,42199,83932,CASUAL
52,94397,24748,CLOSE
53,31003,3806,DISTANT
54,44962,61626,CLOSE
55,53064,84186,CLOSE
56,5988,50518,CLOSE
57,21162,66104,DISTANT
58,88111,61195,CASUAL
59,72348,9137,DISTANT
60,17926,21474,DISTANT
61,92749,15823,CLOSE
62,87674,22293,CLOSE
63,75537,23114,DISTANT
64,86772,3087,CASUAL
65,57729,33252,CLOSE
66,8557,97132,CASUAL
67,57605,41642,CASUAL
68,813,26827,CLOSE
69,95109,49498,CLOSE
70,94325,31216,CASUAL
71,33066,1066,DISTANT
72,51994,33445,CASUAL
73,24870,68924,CLOSE
74,74642,45066,CASUAL
75,48678,36237,CASUAL
76,32199,24267,DISTANT
77,20663,47608,CASUAL
78,59499,4266,DISTANT
79,18149,91825,DISTANT
80,22179,28079,CLOSE
81,23915,19297,CASUAL
82,51519,36274,CASUAL
83,34579,71264,CLOSE
84,80580,25399,DISTANT
85,88552,17406,CASUAL
86,39949,70383,DISTANT
87,4591,387,DISTANT
88,79718,49716,CLOSE
89,57149,84376,DISTANT
90,7994,41456,CASUAL
91,19551,23075,DISTANT
92,33445,75925,DISTANT
93,58213,27557,DISTANT
94,40267,63650,CASUAL
95,78902,69027,CLOSE
96,89120,54648,CASUAL
97,72347,48366,CASUAL
98,66138,9493,CASUAL
99,16690,53939,CASUAL
100,51699,36615,CLOSE
101,33243,48425,CASUAL
102,82750,61185,DISTANT
103,84534,64809,CLOSE
104,58791,72856,CLOSE
105,9284,1051,CASUAL
106,68308,79214,CLOSE
107,50193,87738,CASUAL
108,84186,65312,CLOSE
109,34586,24837,CASUAL
110,46508,62573,DISTANT
111,60999,89031,CLOSE
112,35022,75204,CLOSE
113,2575,37991,CLOSE
114,69306,12723,CASUAL
115,97751,63435,CLOSE
116,62105,99499,DISTANT
117,12113,55097,DISTANT
118,6143,46419,DISTANT
119,9958,92081,CLOSE
120,3068,17451,CLOSE
121,23916,52078,CLOSE
122,83286,9536,CASUAL
123,61338,17975,CASUAL
124,905,77794,DISTANT
125,14252,35720,CLOSE
126,72913,47651,CASUAL
127,55194,56424,DISTANT
128,34267,12169,CASUAL
129,784,77607,CLOSE
130,9989,32895,CASUAL
131,75406,21078,DISTANT
132,85558,31347,DISTANT
133,89428,20627,DISTANT
134,18710,36706,DISTANT
135,53759,88697,CLOSE
136,32573,99601,DISTANT
137,91313,70666,CLOSE
138,11502,81049,DISTANT
139,15237,34416,CLOSE
140,68712,81468,DISTANT
141,29523,60314,CLOSE
142,58639,89852,CASUAL
143,73281,79900,CASUAL
144,80078,97244,CASUAL
145,71887,32653,CLOSE
146,65471,62414,CASUAL
147,80505,70521,CLOSE
148,45175,1108,DISTANT
149,10946,51725,CLOSE
150,11417,93623,CLOSE
151,42869,74992,CLOSE
152,37817,57379,CLOSE
153,5710,29921,CASUAL
154,30942,24831,DISTANT
155,59625,75967,CASUAL
156,34959,21023,DISTANT
157,40613,42762,DISTANT
158,62067,43986,CLOSE
159,58256,24829,CLOSE
160,26282,77312,CLOSE
161,48014,8006,CLOSE
162,33163,78165,CASUAL
163,21878,74712,CASUAL
164,77810,68951,CLOSE
165,40068,72575,CLOSE
166,18778,62386,DISTANT
167,11830,21416,CASUAL
168,13806,94337,CLOSE
169,40352,83576,CASUAL
170,30233,19044,CASUAL
171,51190,62728,CLOSE
172,72290,85161,CLOSE
173,46355,64029,CASUAL
174,28716,42395,CASUAL
175,49025,53850,DISTANT
176,90010,52274,CASUAL
177,89343,43821,CASUAL
178,79749,22477,DISTANT
179,91208,15261,CASUAL
180,64212,78044,DISTANT
181,21077,85974,CASUAL
182,96633,70855,DISTANT
183,34857,17346,CLOSE
184,61119,87206,CLOSE
185,36468,66542,DISTANT
186,80651,67380,CASUAL
187,93998,98113,DISTANT
188,10935,17236,CLOSE
189,26876,36741,CASUAL
190,90904,49408,CLOSE
191,24181,46215,DISTANT
192,21362,88692,CASUAL
193,95494,58842,CASUAL
194,31834,44343,DISTANT
195,3669,26667,CLOSE
196,46280,95737,CLOSE
197,93569,26533,CLOSE
198,70942,5918,CLOSE
199,53454,84113,CASUAL
200,81142,26270,DISTANT
201,52658,93330,CASUAL
202,3975,42797,CLOSE
203,90961,24288,CLOSE
204,4062,59962,CASUAL
205,93175,65531,CASUAL
206,39107,78221,DISTANT
207,62811,70432,DISTANT
208,20528,67928,CLOSE
209,73229,22241,DISTANT
210,90814,19436,CLOSE
211,27709,40816,CLOSE
212,59289,99776,CLOSE
213,87182,70598,DISTANT
214,36952,98960,CASUAL
215,77383,89636,CLOSE
216,77139,90341,CLOSE
217,81231,83014,CLOSE
218,14859,94271,CLOSE
219,80667,58632,DISTANT
220,25258,68578,CLOSE
221,58373,82275,CASUAL
222,59978,68864,DISTANT
223,26553,67492,CASUAL
224,74636,96201,CASUAL
225,53725,35230,CLOSE
226,18759,12592,CASUAL
227,2394,67321,DISTANT
228,29976,12771,CLOSE
229,77347,76441,CASUAL
230,97084,23644,DISTANT
231,44821,43264,CLOSE
232,67766,78945,CASUAL
233,46473,49780,CASUAL
234,96560,91178,DISTANT
235,95809,49443,CASUAL
236,23794,11959,DISTANT
237,55565,50039,DISTANT
238,81977,96770,CASUAL
239,30697,77759,CASUAL
240,61256,41458,DISTANT
241,8370,55341,DISTANT
242,57490,73257,CASUAL
243,50353,21323,CLOSE
244,13881,5333,CLOSE
245,71803,4924,CASUAL
246,96109,81674,CLOSE
247,16823,71002,DISTANT
248,17657,75813,CASUAL
249,20722,2028,DISTANT
250,49936,43972,DISTANT
251,84349,61500,CLOSE
252,86286,80664,CLOSE
253,98446,41802,CASUAL
254,59017,69373,CLOSE
255,9015,57351,CASUAL
256,37174,81942,CLOSE
257,3545,24808,CASUAL
258,73040,40126,DISTANT
259,83976,62089,CASUAL
260,46177,77170,CASUAL
261,69795,66521,CASUAL
262,55990,85231,CASUAL
263,85133,28828,CLOSE
264,99802,99857,DISTANT
265,14133,91717,DISTANT
266,52364,36852,CASUAL
267,68950,35056,DISTANT
268,94672,89462,CLOSE
269,2140,40829,CASUAL
270,64159,78414,CLOSE
271,18522,22394,CASUAL
272,46537,20477,DISTANT
273,4436,96379,CASUAL
274,76341,24751,DISTANT
275,12927,41555,DISTANT
276,70140,44935,CASUAL
277,87112,7584,CASUAL
278,62363,16823,DISTANT
279,98692,16768,CLOSE
280,63382,17803,CLOSE
281,36238,66914,DISTANT
282,50897,99093,CLOSE
283,53768,97421,CLOSE
284,3742,27580,CLOSE
285,64784,11707,CASUAL
286,65999,85347,CASUAL
287,96534,69394,DISTANT
288,17000,83905,CASUAL
289,57015,87799,CLOSE
290,89390,42884,CLOSE
291,30252,55256,CLOSE
292,39811,19234,CLOSE
293,15321,83307,CLOSE
294,91021,16378,DISTANT
295,84606,38885,CLOSE
296,14349,76935,CASUAL
297,63813,45164,DISTANT
298,55420,44469,CASUAL
299,63009,67996,CASUAL
300,69133,25776,DISTANT
301,42770,25891,CLOSE
302,42238,53449,CASUAL
303,31803,42649,CASUAL
304,87736,9595,DISTANT
305,88181,30749,CLOSE
306,99890,99675,DISTANT
307,34588,23836,CASUAL
308,49878,26001,CLOSE
309,89655,6667,CASUAL
310,85738,15478,DISTANT
311,118,90438,DISTANT
312,52830,71683,CASUAL
313,9193,42278,DISTANT
314,66239,49506,CASUAL
315,65817,93778,CLOSE
316,32523,29870,DISTANT
317,99008,36204,DISTANT
318,53081,61515,CLOSE
319,27535,48980,CLOSE
