_key,_from,_to,exposure
0,persons/7607,persons/6932,DISTANT
1,persons/6829,persons/9758,CASUAL
2,persons/516,persons/7591,CASUAL
3,persons/8700,persons/1502,CLOSE
4,persons/8735,persons/2552,CASUAL
5,persons/7890,persons/5817,CLOSE
6,persons/7724,persons/8234,DISTANT
7,persons/9792,persons/799,CLOSE
8,persons/6184,persons/7083,CASUAL
9,persons/2003,persons/4455,CASUAL
10,persons/3171,persons/8593,CLOSE
11,persons/6975,persons/9189,CASUAL
12,persons/5342,persons/8720,DISTANT
13,persons/4719,persons/7548,CLOSE
14,persons/296,persons/6054,CASUAL
15,persons/6275,persons/3688,CASUAL
16,persons/1973,persons/3151,CASUAL
17,persons/2117,persons/3761,CASUAL
18,persons/9535,persons/103,DISTANT
19,persons/6257,persons/2772,CASUAL
20,persons/1809,persons/9891,DISTANT
21,persons/2829,persons/211,CLOSE
22,persons/7629,persons/375,CLOSE
23,persons/950,persons/2676,CASUAL
24,persons/1874,persons/5905,DISTANT
25,persons/9261,persons/5287,DISTANT
26,persons/5818,persons/7122,DISTANT
27,persons/1520,persons/8104,DISTANT
28,persons/944,persons/344,CASUAL
29,persons/7107,persons/6416,CLOSE
30,persons/2398,persons/9894,DISTANT
31,persons/6927,persons/4846,DISTANT
32,persons/3205,persons/5166,CASUAL
33,persons/2506,persons/1898,DISTANT
34,persons/5725,persons/9882,CLOSE
35,persons/275,persons/4315,DISTANT
36,persons/1217,persons/4754,CLOSE
37,persons/1355,persons/7735,CASUAL
38,persons/3793,persons/1430,DISTANT
39,persons/9443,persons/2050,CASUAL
40,persons/1681,persons/7482,CASUAL
41,persons/3065,persons/5614,CLOSE
42,persons/982,persons/3750,CASUAL
43,persons/1176,persons/4002,CASUAL
44,persons/2037,persons/5105,CLOSE
45,persons/1001,persons/6572,DISTANT
46,persons/2656,persons/4529,CASUAL
47,persons/5350,persons/6111,CLOSE
48,persons/3901,persons/813,CLOSE
49,persons/7887,persons/493,DISTANT
50,persons/9672,persons/5317,CLOSE
51,persons/6332,persons/9894,CASUAL
52,persons/3009,persons/5199,CLOSE
53,persons/3814,persons/3251,CASUAL
54,persons/478,persons/3804,DISTANT
55,persons/2180,persons/456,CLOSE
56,persons/2949,persons/4413,CLOSE
57,persons/6965,persons/198,DISTANT
58,persons/7446,persons/314,CASUAL
59,persons/8481,persons/6624,DISTANT
60,persons/9135,persons/7214,CASUAL
61,persons/3238,persons/1342,CLOSE
62,persons/9178,persons/3464,CLOSE
63,persons/1478,persons/6660,DISTANT
64,persons/2206,persons/7046,CASUAL
65,persons/7374,persons/3269,CLOSE
66,persons/9693,persons/8431,CLOSE
67,persons/8513,persons/7333,DISTANT
68,persons/4952,persons/6039,DISTANT
69,persons/3417,persons/8518,CLOSE
70,persons/5258,persons/9467,DISTANT
71,persons/1218,persons/9028,CASUAL
72,persons/2911,persons/875,CASUAL
73,persons/1336,persons/467,DISTANT
74,persons/2993,persons/8836,CLOSE
75,persons/3565,persons/1647,DISTANT
76,persons/5393,persons/1829,DISTANT
77,persons/3379,persons/2865,CLOSE
78,persons/4050,persons/9424,CASUAL
79,persons/3296,persons/2378,CLOSE
80,persons/5804,persons/4905,CASUAL
81,persons/6763,persons/6828,CASUAL
82,persons/6408,persons/7325,CASUAL
83,persons/2385,persons/8950,CASUAL
84,persons/8066,persons/8063,CASUAL
85,persons/1840,persons/8856,DISTANT
86,persons/2365,persons/5393,CLOSE
87,persons/9850,persons/6481,CASUAL
88,persons/1581,persons/9275,DISTANT
89,persons/1560,persons/7332,CLOSE
90,persons/6526,persons/7148,CASUAL
91,persons/6032,persons/9645,CLOSE
92,persons/61,persons/1851,CLOSE
93,persons/3890,persons/8458,CLOSE
94,persons/9154,persons/5149,CLOSE
95,persons/9857,persons/1314,DISTANT
96,persons/6088,persons/3288,CASUAL
97,persons/4311,persons/5863,CASUAL
98,persons/1122,persons/146,CLOSE
99,persons/1989,persons/489,DISTANT
100,persons/1636,persons/1615,CLOSE
101,persons/2625,persons/832,CLOSE
102,persons/5161,persons/9177,CLOSE
103,persons/9868,persons/3958,DISTANT
104,persons/7816,persons/2165,CASUAL
105,persons/4349,persons/3449,CLOSE
106,persons/343,persons/2537,DISTANT
107,persons/4690,persons/3291,CASUAL
108,persons/2516,persons/6533,DISTANT
109,persons/1708,persons/7985,CASUAL
110,persons/549,persons/5867,DISTANT
111,persons/1402,persons/5345,CASUAL
112,persons/8676,persons/6885,CLOSE
113,persons/5320,persons/4044,DISTANT
114,persons/7081,persons/2776,CLOSE
115,persons/3776,persons/7207,CASUAL
116,persons/8113,persons/9780,CASUAL
117,persons/9241,persons/7633,CASUAL
118,persons/844,persons/854,CASUAL
119,persons/5864,persons/6373,DISTANT
120,persons/5006,persons/828,DISTANT
121,persons/2353,persons/4920,CLOSE
122,persons/5778,persons/2774,CASUAL
123,persons/4168,persons/3987,DISTANT
124,persons/4704,persons/2138,CLOSE
125,persons/1517,persons/9627,CLOSE
126,persons/1800,persons/2735,DISTANT
127,persons/1827,persons/8991,DISTANT
128,persons/1040,persons/3700,CASUAL
129,persons/7259,persons/7757,CASUAL
130,persons/601,persons/5312,DISTANT
