_key,_from,_to,exposure
0,persons/11175,persons/29713,CASUAL
1,persons/1495,persons/23150,DISTANT
2,persons/40917,persons/65238,DISTANT
3,persons/10147,persons/68386,DISTANT
4,persons/53383,persons/43396,CLOSE
5,persons/57270,persons/32683,CASUAL
6,persons/46356,persons/39660,CASUAL
7,persons/16445,persons/56935,CASUAL
8,persons/17265,persons/7888,CLOSE
9,persons/42065,persons/48156,CLOSE
10,persons/12335,persons/68103,CASUAL
11,persons/69224,persons/86537,CASUAL
12,persons/12250,persons/1929,DISTANT
13,persons/84016,persons/61419,CASUAL
14,persons/15650,persons/39326,CASUAL
15,persons/67102,persons/13781,CASUAL
16,persons/2677,persons/90055,CASUAL
17,persons/9218,persons/8309,DISTANT
18,persons/73774,persons/35024,DISTANT
19,persons/23746,persons/40925,CASUAL
20,persons/56603,persons/37418,CLOSE
21,persons/36883,persons/79072,CASUAL
22,persons/9998,persons/1916,CLOSE
23,persons/83766,persons/94999,CLOSE
24,persons/49463,persons/71588,DISTANT
25,persons/57511,persons/89336,CASUAL
26,persons/7065,persons/5599,DISTANT
27,persons/39215,persons/51657,DISTANT
28,persons/68926,persons/68154,CASUAL
29,persons/68509,persons/42723,CLOSE
30,persons/15914,persons/93278,CLOSE
31,persons/34982,persons/58153,CASUAL
32,persons/6874,persons/24915,CASUAL
33,persons/36714,persons/75158,CLOSE
34,persons/88355,persons/20897,DISTANT
35,persons/72772,persons/97809,CASUAL
36,persons/14550,persons/49721,DISTANT
37,persons/37926,persons/71212,DISTANT
38,persons/27048,persons/24949,CASUAL
39,persons/46203,persons/48740,CLOSE
40,persons/56552,persons/37720,DISTANT
41,persons/79380,persons/26554,DISTANT
42,persons/51831,persons/70612,CLOSE
43,persons/69302,persons/57055,CASUAL
44,persons/79981,persons/98239,CASUAL
45,persons/71687,persons/29006,CASUAL
46,persons/14777,persons/18245,DISTANT
47,persons/53792,persons/81401,DISTANT
48,persons/85701,persons/86038,DISTANT
49,persons/19747,persons/78365,CASUAL
50,persons/87418,persons/75944,CLOSE
51,persons/42199,persons/83932,CASUAL
52,persons/94397,persons/24748,CLOSE
53,persons/31003,persons/3806,DISTANT
54,persons/44962,persons/61626,CLOSE
55,persons/53064,persons/84186,CLOSE
56,persons/5988,persons/50518,CLOSE
57,persons/21162,persons/66104,DISTANT
58,persons/88111,persons/61195,CASUAL
59,persons/72348,persons/9137,DISTANT
60,persons/17926,persons/21474,DISTANT
61,persons/92749,persons/15823,CLOSE
62,persons/87674,persons/22293,CLOSE
63,persons/75537,persons/23114,DISTANT
64,persons/86772,persons/3087,CASUAL
65,persons/57729,persons/33252,CLOSE
66,persons/8557,persons/97132,CASUAL
67,persons/57605,persons/41642,CASUAL
68,persons/813,persons/26827,CLOSE
69,persons/95109,persons/49498,CLOSE
70,persons/94325,persons/31216,CASUAL
71,persons/33066,persons/1066,DISTANT
72,persons/51994,persons/33445,CASUAL
73,persons/24870,persons/68924,CLOSE
74,persons/74642,persons/45066,CASUAL
75,persons/48678,persons/36237,CASUAL
76,persons/32199,persons/24267,DISTANT
77,persons/20663,persons/47608,CASUAL
78,persons/59499,persons/4266,DISTANT
79,persons/18149,persons/91825,DISTANT
80,persons/22179,persons/28079,CLOSE
81,persons/23915,persons/19297,CASUAL
82,persons/51519,persons/36274,CASUAL
83,persons/34579,persons/71264,CLOSE
84,persons/80580,persons/25399,DISTANT
85,persons/88552,persons/17406,CASUAL
86,persons/39949,persons/70383,DISTANT
87,persons/4591,persons/387,DISTANT
88,persons/79718,persons/49716,CLOSE
89,persons/57149,persons/84376,DISTANT
90,persons/7994,persons/41456,CASUAL
91,persons/19551,persons/23075,DISTANT
92,persons/33445,persons/75925,DISTANT
93,persons/58213,persons/27557,DISTANT
94,persons/40267,persons/63650,CASUAL
95,persons/78902,persons/69027,CLOSE
96,persons/89120,persons/54648,CASUAL
97,persons/72347,persons/48366,CASUAL
98,persons/66138,persons/9493,CASUAL
99,persons/16690,persons/53939,CASUAL
100,persons/51699,persons/36615,CLOSE
101,persons/33243,persons/48425,CASUAL
102,persons/82750,persons/61185,DISTANT
103,persons/84534,persons/64809,CLOSE
104,persons/58791,persons/72856,CLOSE
105,persons/9284,persons/1051,CASUAL
106,persons/68308,persons/79214,CLOSE
107,persons/50193,persons/87738,CASUAL
108,persons/84186,persons/65312,CLOSE
109,persons/34586,persons/24837,CASUAL
110,persons/46508,persons/62573,DISTANT
111,persons/60999,persons/89031,CLOSE
112,persons/35022,persons/75204,CLOSE
113,persons/2575,persons/37991,CLOSE
114,persons/69306,persons/12723,CASUAL
115,persons/97751,persons/63435,CLOSE
116,persons/62105,persons/99499,DISTANT
117,persons/12113,persons/55097,DISTANT
118,persons/6143,persons/46419,DISTANT
119,persons/9958,persons/92081,CLOSE
120,persons/3068,persons/17451,CLOSE
121,persons/23916,persons/52078,CLOSE
122,persons/83286,persons/9536,CASUAL
123,persons/61338,persons/17975,CASUAL
124,persons/905,persons/77794,DISTANT
125,persons/14252,persons/35720,CLOSE
126,persons/72913,persons/47651,CASUAL
127,persons/55194,persons/56424,DISTANT
128,persons/34267,persons/12169,CASUAL
129,persons/784,persons/77607,CLOSE
130,persons/9989,persons/32895,CASUAL
131,persons/75406,persons/21078,DISTANT
132,persons/85558,persons/31347,DISTANT
133,persons/89428,persons/20627,DISTANT
134,persons/18710,persons/36706,DISTANT
135,persons/53759,persons/88697,CLOSE
136,persons/32573,persons/99601,DISTANT
137,persons/91313,persons/70666,CLOSE
138,persons/11502,persons/81049,DISTANT
139,persons/15237,persons/34416,CLOSE
140,persons/68712,persons/81468,DISTANT
141,persons/29523,persons/60314,CLOSE
142,persons/58639,persons/89852,CASUAL
143,persons/73281,persons/79900,CASUAL
144,persons/80078,persons/97244,CASUAL
145,persons/71887,persons/32653,CLOSE
146,persons/65471,persons/62414,CASUAL
147,persons/80505,persons/70521,CLOSE
148,persons/45175,persons/1108,DISTANT
149,persons/10946,persons/51725,CLOSE
150,persons/11417,persons/93623,CLOSE
151,persons/42869,persons/74992,CLOSE
152,persons/37817,persons/57379,CLOSE
153,persons/5710,persons/29921,CASUAL
154,persons/30942,persons/24831,DISTANT
155,persons/59625,persons/75967,CASUAL
156,persons/34959,persons/21023,DISTANT
157,persons/40613,persons/42762,DISTANT
158,persons/62067,persons/43986,CLOSE
159,persons/58256,persons/24829,CLOSE
160,persons/26282,persons/77312,CLOSE
161,persons/48014,persons/8006,CLOSE
162,persons/33163,persons/78165,CASUAL
163,persons/21878,persons/74712,CASUAL
164,persons/77810,persons/68951,CLOSE
165,persons/40068,persons/72575,CLOSE
166,persons/18778,persons/62386,DISTANT
167,persons/11830,persons/21416,CASUAL
168,persons/13806,persons/94337,CLOSE
169,persons/40352,persons/83576,CASUAL
170,persons/30233,persons/19044,CASUAL
171,persons/51190,persons/62728,CLOSE
172,persons/72290,persons/85161,CLOSE
173,persons/46355,persons/64029,CASUAL
174,persons/28716,persons/42395,CASUAL
175,persons/49025,persons/53850,DISTANT
176,persons/90010,persons/52274,CASUAL
177,persons/89343,persons/43821,CASUAL
178,persons/79749,persons/22477,DISTANT
179,persons/91208,persons/15261,CASUAL
180,persons/64212,persons/78044,DISTANT
181,persons/21077,persons/85974,CASUAL
182,persons/96633,persons/70855,DISTANT
183,persons/34857,persons/17346,CLOSE
184,persons/61119,persons/87206,CLOSE
185,persons/36468,persons/66542,DISTANT
186,persons/80651,persons/67380,CASUAL
187,persons/93998,persons/98113,DISTANT
188,persons/10935,persons/17236,CLOSE
189,persons/26876,persons/36741,CASUAL
190,persons/90904,persons/49408,CLOSE
191,persons/24181,persons/46215,DISTANT
