id,from_id,to_id,exposure
0,3199,873,DISTANT
1,8532,9099,DISTANT
2,3548,5612,CASUAL
3,96,9325,CLOSE
4,9680,6421,DISTANT
5,1024,3583,DISTANT
6,4028,2084,DISTANT
7,7186,5644,CLOSE
8,7819,177,CLOSE
9,8970,4552,CLOSE
10,8011,5030,DISTANT
11,2779,9639,DISTANT
12,368,1717,CASUAL
13,8224,5629,DISTANT
14,5741,5673,CASUAL
15,7770,4592,DISTANT
16,2751,2005,DISTANT
17,9930,669,CLOSE
18,4640,2611,CLOSE
19,6862,8031,CLOSE
20,9230,3602,CLOSE
21,4666,7372,CASUAL
22,8547,344,CLOSE
23,4337,1145,CLOSE
24,6046,9316,CASUAL
25,1090,2045,CASUAL
26,1252,8914,CLOSE
27,9529,2725,CASUAL
28,3385,713,CLOSE
29,8513,2827,CLOSE
30,5412,2020,CASUAL
31,6296,4742,CASUAL
32,5667,1054,CLOSE
33,605,6189,CASUAL
34,6589,3568,CLOSE
35,4774,8243,CASUAL
36,3892,1086,DISTANT
37,6768,9202,CASUAL
38,9093,7163,CASUAL
39,2373,2990,DISTANT
40,4441,834,CASUAL
41,3354,6493,DISTANT
42,375,2137,CASUAL
43,7,4760,DISTANT
44,2289,5518,CLOSE
45,5142,2332,CASUAL
46,5918,5085,CASUAL
47,8392,7851,CASUAL
48,8184,3395,CLOSE
49,6430,9618,CASUAL
50,5539,4318,CLOSE
51,956,6874,DISTANT
52,9741,5346,CASUAL
53,5007,8047,DISTANT
54,5312,3765,DISTANT
55,9730,3747,DISTANT
56,9171,1283,DISTANT
57,7643,5623,CASUAL
58,1402,4729,CLOSE
59,9386,8645,DISTANT
60,8284,8700,CASUAL
61,8861,7743,DISTANT
62,7806,3737,CLOSE
63,674,5001,DISTANT
64,7630,15,DISTANT
65,8496,5468,CLOSE
66,2467,7803,CLOSE
67,8697,89,CASUAL
68,6971,1059,CLOSE
69,3742,6040,DISTANT
70,2082,3315,CLOSE
71,5542,8900,CLOSE
72,2783,7331,CASUAL
73,8653,8424,CLOSE
74,695,4577,CASUAL
75,8890,1375,CLOSE
76,3970,6107,CLOSE
77,9235,1103,CLOSE
78,5602,2402,CLOSE
79,8626,5592,CLOSE
80,9234,9481,CASUAL
81,2542,7807,CASUAL
82,1385,1250,CASUAL
83,239,6109,CLOSE
84,2897,9579,CASUAL
85,4270,2909,CLOSE
86,1751,6011,DISTANT
87,4964,6543,DISTANT
88,8969,2260,CASUAL
89,8981,9918,CASUAL
90,3413,743,DISTANT
91,9733,9383,CASUAL
92,3985,5946,CASUAL
93,6459,5240,DISTANT
94,5221,9645,CASUAL
95,3744,6496,CLOSE
96,7035,8789,CLOSE
97,935,1913,DISTANT
98,8866,213,CLOSE
99,8284,6514,CASUAL
100,8321,9564,CLOSE
101,1236,2719,CASUAL
102,4008,998,DISTANT
103,7196,3788,CLOSE
104,9953,8208,DISTANT
105,6539,2352,CLOSE
106,8770,9422,DISTANT
107,1562,6592,CASUAL
108,9935,1138,CLOSE
109,8475,8916,CASUAL
110,3830,6880,CLOSE
111,3101,4808,DISTANT
112,7001,796,CASUAL
113,2960,3434,CLOSE
114,201,1999,CLOSE
115,9755,1576,CASUAL
116,1661,1443,DISTANT
117,9224,8847,DISTANT
118,6638,647,DISTANT
119,2932,4242,CLOSE
120,1555,6086,CLOSE
121,8609,5820,DISTANT
122,6033,812,DISTANT
123,2026,928,DISTANT
124,8385,6350,DISTANT
125,7167,9462,CLOSE
126,491,8362,CASUAL
127,482,2044,CLOSE
128,1533,4964,CASUAL
129,2704,418,DISTANT
130,4404,3276,DISTANT
131,134,5529,CASUAL
132,6919,3480,CASUAL
133,150,2550,CASUAL
134,9976,5080,CLOSE
135,2536,883,DISTANT
136,6943,3038,CASUAL
137,2074,5423,CASUAL
138,4799,6872,DISTANT
139,4157,1349,CASUAL
140,9013,2606,CASUAL
141,4559,5801,DISTANT
142,8287,2166,CASUAL
143,4739,7103,CASUAL
144,9610,4838,CLOSE
145,5591,1163,DISTANT
146,9646,7585,DISTANT
147,2322,7541,CASUAL
148,2495,3040,DISTANT
149,4152,9719,DISTANT
150,6430,1248,DISTANT
151,8745,4750,CLOSE
152,3152,5256,CLOSE
153,8635,5893,CLOSE
154,1712,4882,DISTANT
155,7885,2620,CASUAL
156,7683,527,DISTANT
157,6993,2043,DISTANT
158,2311,1403,CLOSE
159,2319,471,CASUAL
160,5782,7402,CLOSE
161,1873,1696,CLOSE
162,1129,8428,DISTANT
163,8699,6010,CLOSE
164,6876,2343,CASUAL
165,4637,1283,DISTANT
166,296,3214,DISTANT
167,124,6177,CASUAL
168,8188,7115,DISTANT
169,9779,5462,DISTANT
170,8101,1434,CLOSE
171,8883,7499,CASUAL
172,8646,8497,DISTANT
173,6083,9568,CASUAL
174,2556,9866,CLOSE
175,9485,3061,CLOSE
176,5326,6417,CLOSE
177,5700,7950,CASUAL
178,8552,1461,DISTANT
179,7110,6863,CASUAL
180,5042,2876,DISTANT
181,5522,691,CASUAL
182,2818,3457,CASUAL
183,6581,7725,DISTANT
184,8430,7749,CLOSE
185,2495,9019,DISTANT
186,8200,8768,CASUAL
187,9275,8277,CASUAL
188,1568,9769,CLOSE
189,9507,1579,DISTANT
190,7737,1294,CASUAL
191,2724,4203,DISTANT
192,9202,2092,DISTANT
193,8758,8050,CLOSE
194,4992,6392,CLOSE
195,7544,9752,DISTANT
196,7267,5284,DISTANT
197,6555,6547,CLOSE
198,476,6568,CLOSE
199,1221,9573,DISTANT
200,7334,8324,CASUAL
201,7173,464,CASUAL
202,1193,2200,CLOSE
203,9827,1987,DISTANT
204,1850,642,CASUAL
205,9602,8846,CASUAL
206,2977,3427,CASUAL
207,9688,4315,CASUAL
208,9356,4127,CLOSE
209,2117,7991,CLOSE
210,1802,6965,CASUAL
211,6636,5246,CLOSE
212,2974,3553,CLOSE
213,6308,6995,CLOSE
214,1022,8078,CLOSE
215,228,5201,CASUAL
216,5923,4923,DISTANT
217,70,6012,DISTANT
218,7494,1331,DISTANT
219,5747,715,DISTANT
220,618,2124,CLOSE
221,8707,4773,CASUAL
222,7967,7661,DISTANT
223,8218,1037,DISTANT
224,9492,3734,CLOSE
225,2236,3235,CLOSE
226,885,7899,DISTANT
227,2988,4431,CLOSE
228,9729,6630,DISTANT
229,1024,1447,CLOSE
230,9634,7104,CASUAL
231,7574,2255,CASUAL
232,6777,8609,CASUAL
233,5410,8632,DISTANT
234,753,629,CLOSE
235,5115,9811,CLOSE
236,9075,1508,DISTANT
237,6403,6255,DISTANT
238,7015,2006,DISTANT
239,5964,747,CLOSE
240,9525,4784,CASUAL
241,3190,1893,DISTANT
242,9480,8301,CLOSE
243,7936,4386,DISTANT
244,7761,894,CLOSE
245,1327,6508,CLOSE
246,3774,4946,CLOSE
247,577,75,CLOSE
248,8018,3837,DISTANT
249,2933,448,CASUAL
250,7724,6653,DISTANT
251,1294,2141,DISTANT
252,1761,8280,DISTANT
253,8290,8753,CLOSE
254,3528,6827,DISTANT
255,2393,3542,CASUAL
256,1402,3915,CASUAL
257,6514,1466,CLOSE
258,2151,8585,DISTANT
259,3261,9893,DISTANT
260,4958,9170,DISTANT
261,4839,7876,DISTANT
262,7298,254,DISTANT
263,594,3191,DISTANT
264,430,4965,DISTANT
265,5800,9138,DISTANT
266,7769,7608,DISTANT
267,7786,3757,DISTANT
268,1135,3314,CLOSE
269,1588,1644,CLOSE
270,2808,8001,DISTANT
271,9665,8580,CLOSE
272,8993,8720,CASUAL
273,2424,9039,DISTANT
274,9875,9411,CASUAL
275,2268,151,DISTANT
276,5434,7584,DISTANT
277,9714,7405,DISTANT
278,1521,7417,CLOSE
279,8322,9053,CLOSE
280,7284,8372,DISTANT
281,5274,6012,CLOSE
282,4962,7858,DISTANT
283,365,2029,CLOSE
284,5536,8728,DISTANT
285,5983,5781,CASUAL
286,1918,9095,DISTANT
287,8038,8191,CLOSE
288,17,211,DISTANT
289,8258,1211,DISTANT
290,4425,9932,CASUAL
291,5868,5287,DISTANT
292,8384,8449,CLOSE
293,5086,552,CLOSE
294,6227,2066,CLOSE
295,9022,1974,CASUAL
296,6160,7933,DISTANT
297,1571,9567,CASUAL
298,5990,4842,CASUAL
299,4643,4263,CASUAL
300,3265,3535,DISTANT
301,6953,5903,DISTANT
302,8271,9660,CASUAL
303,4011,6295,CASUAL
304,7667,3467,CLOSE
305,6961,7585,DISTANT
306,5962,9842,CASUAL
307,5881,1684,DISTANT
308,4466,9306,CLOSE
309,1293,8743,DISTANT
310,7589,1960,DISTANT
311,3717,7612,DISTANT
312,7505,800,CASUAL
313,7076,9207,CLOSE
314,6667,7887,CASUAL
315,8287,7808,DISTANT
316,8068,9891,DISTANT
317,5480,5961,DISTANT
318,7402,8686,CASUAL
319,4044,4961,CASUAL
320,6446,7294,DISTANT
321,7212,6980,DISTANT
322,2221,2336,CLOSE
323,5167,2360,DISTANT
324,2448,8678,CLOSE
325,1883,6436,CLOSE
326,7066,2965,CLOSE
327,6793,7551,DISTANT
328,9046,2612,DISTANT
329,3253,6195,CASUAL
330,7069,4169,DISTANT
331,3197,3804,CLOSE
332,808,7059,CASUAL
333,2372,4737,CLOSE
334,6766,8476,CASUAL
335,2921,4718,CASUAL
336,3795,3951,DISTANT
337,4498,5815,CLOSE
338,1516,1351,CASUAL
339,8929,3136,CLOSE
340,4619,9890,DISTANT
341,7078,1325,CLOSE
342,8358,77,CLOSE
343,3240,3699,CASUAL
344,7903,6391,DISTANT
345,9562,264,CASUAL
346,6627,3214,CASUAL
347,6324,1282,CLOSE
348,294,9332,DISTANT
349,2677,9836,CLOSE
350,478,3235,CASUAL
351,5452,4938,CASUAL
352,5082,1978,DISTANT
353,641,2372,CASUAL
354,5563,132,CASUAL
355,9330,8979,CLOSE
356,3344,2646,CASUAL
357,5240,2615,CASUAL
358,6668,2817,CLOSE
359,8515,9173,CLOSE
360,8423,7904,CLOSE
361,3615,9440,CLOSE
362,6823,2243,CASUAL
363,7625,110,DISTANT
364,1505,7126,CASUAL
365,9786,4968,DISTANT
366,1284,8318,CLOSE
367,6003,8449,DISTANT
368,7434,6621,CLOSE
369,565,625,CLOSE
370,4879,9057,CLOSE
371,2976,5149,DISTANT
372,3560,2960,DISTANT
373,5464,7194,CASUAL
374,2299,3529,CLOSE
375,2493,5344,DISTANT
376,3055,9695,CLOSE
377,3994,9994,CASUAL
378,7292,6029,CLOSE
379,7805,3264,DISTANT
380,8419,6966,CASUAL
381,8146,4969,CASUAL
382,8381,5151,DISTANT
383,501,4508,DISTANT
384,122,7866,CLOSE
385,835,5270,DISTANT
386,5585,159,CLOSE
387,6121,9817,DISTANT
388,4179,6047,DISTANT
389,9249,1083,CLOSE
390,1502,7692,DISTANT
391,6818,5084,DISTANT
392,4014,3657,DISTANT
393,6710,2272,DISTANT
394,3812,7972,CASUAL
395,4965,9406,CASUAL
396,737,4534,DISTANT
397,6695,8717,CASUAL
398,336,4184,CASUAL
399,9728,8989,DISTANT
400,4313,2218,DISTANT
401,7188,6749,CLOSE
402,1785,7731,DISTANT
403,7261,2926,DISTANT
404,694,1007,CASUAL
405,1388,4626,DISTANT
406,1950,5131,CLOSE
407,8330,9235,CLOSE
408,9253,8438,CASUAL
409,8057,4607,CLOSE
410,6373,9596,DISTANT
411,1247,4530,CASUAL
412,6261,1871,DISTANT
413,1504,1898,CLOSE
414,5148,1286,CASUAL
415,1176,9118,DISTANT
416,5825,5369,CLOSE
417,6441,7319,CASUAL
418,1635,1226,CASUAL
419,3562,7744,DISTANT
420,1218,994,CASUAL
421,3852,1644,DISTANT
422,5260,1600,DISTANT
423,822,8738,DISTANT
424,4914,3743,CLOSE
425,1105,4370,DISTANT
426,8608,5555,DISTANT
427,8650,3638,CLOSE
428,4891,6871,DISTANT
429,5014,6989,CLOSE
430,2231,4594,DISTANT
431,2984,8538,DISTANT
432,3636,8530,CASUAL
433,211,2148,CLOSE
434,1493,765,CASUAL
435,5372,2241,DISTANT
436,4795,4808,CLOSE
437,1609,4071,CASUAL
438,8906,7362,DISTANT
439,7568,3501,CLOSE
440,6680,7659,DISTANT
441,9969,9321,CLOSE
442,8273,8888,CLOSE
443,1764,885,CLOSE
444,9164,677,CLOSE
445,7663,9383,CLOSE
446,347,9336,DISTANT
447,2688,7606,CASUAL
448,7462,8788,CASUAL
449,9513,800,DISTANT
450,2175,7538,CASUAL
451,6013,8188,DISTANT
452,5269,4953,CLOSE
453,1504,1905,DISTANT
454,886,8745,CASUAL
455,9207,107,DISTANT
456,4778,4317,DISTANT
457,3179,3967,CLOSE
458,7415,1376,CASUAL
459,5327,6453,CLOSE
460,984,7169,CASUAL
461,5058,3430,DISTANT
462,991,2113,CASUAL
463,8616,8686,CASUAL
464,9279,7129,CLOSE
465,6959,6133,CLOSE
466,6722,1364,CLOSE
467,7082,3596,CLOSE
468,383,4864,CLOSE
469,5824,5840,DISTANT
470,8672,3728,CLOSE
471,6639,6537,CLOSE
472,3661,6455,DISTANT
473,2567,1312,CLOSE
474,8516,2812,CLOSE
475,7292,7631,CLOSE
476,9658,9200,CASUAL
477,4496,9017,CASUAL
478,7672,1838,CASUAL
479,2556,3765,CASUAL
480,6598,9319,DISTANT
481,79,7365,DISTANT
482,9712,8036,CASUAL
483,137,5451,CASUAL
484,4354,1035,CLOSE
485,5226,8574,CASUAL
486,4123,4923,DISTANT
487,7418,8021,CASUAL
488,7991,3156,CLOSE
489,1499,9958,CASUAL
490,7514,4800,CASUAL
491,7802,9937,DISTANT
492,3798,9734,CASUAL
493,4397,2675,DISTANT
494,2838,9325,CLOSE
495,8824,3040,CLOSE
496,9615,8878,CASUAL
497,9577,1980,CASUAL
498,9662,8518,DISTANT
499,7725,3153,DISTANT
500,3258,4955,CASUAL
501,3910,9190,DISTANT
502,8951,4254,CASUAL
503,9305,60,DISTANT
504,862,8906,CLOSE
505,1940,8129,CLOSE
506,5335,5683,CASUAL
507,4555,4959,CASUAL
508,9525,6795,DISTANT
509,4278,1787,CLOSE
510,6982,7982,CASUAL
511,7195,6085,CASUAL
512,1053,733,CLOSE
513,1177,6173,CLOSE
514,2429,5504,CLOSE
515,4280,96,DISTANT
516,5776,9387,CLOSE
517,1733,6228,DISTANT
518,6335,9465,DISTANT
519,3679,5214,CASUAL
520,6757,6457,DISTANT
521,5988,6163,CLOSE
522,9903,5530,DISTANT
523,8166,9399,DISTANT
524,5391,389,CLOSE
525,1304,807,DISTANT
526,1958,3858,CLOSE
527,9448,9436,CLOSE
528,2288,712,CLOSE
529,7633,8838,CLOSE
530,547,5896,CASUAL
531,9088,4862,DISTANT
532,7084,1327,CLOSE
533,5767,9674,DISTANT
534,4984,621,CASUAL
535,5408,9520,CLOSE
536,8365,4700,CASUAL
537,4525,7470,DISTANT
538,5930,6011,DISTANT
539,584,6827,CASUAL
540,6909,1459,CASUAL
541,9072,9967,CASUAL
542,8548,1194,DISTANT
543,9370,9288,CLOSE
544,4070,9365,CLOSE
