id,from_id,to_id,exposure
0,26043,6742,DISTANT
1,9054,2164,CASUAL
2,8849,8555,DISTANT
3,12291,26532,CASUAL
4,24479,11404,DISTANT
5,10717,17144,CLOSE
6,11570,25480,CASUAL
7,10613,11565,DISTANT
8,7053,12354,DISTANT
9,26616,11224,DISTANT
10,9497,3930,CLOSE
11,25003,5084,DISTANT
12,18268,18599,CLOSE
13,26463,26601,CLOSE
14,12774,10032,DISTANT
15,12606,15280,CASUAL
16,3839,4876,DISTANT
17,1851,11215,CASUAL
18,12695,10889,CASUAL
19,24472,12366,CLOSE
20,1023,1142,DISTANT
21,27833,29451,CLOSE
22,6316,28536,DISTANT
23,19632,13978,DISTANT
24,27073,20931,CLOSE
25,27267,27993,DISTANT
26,7935,16633,DISTANT
27,25538,18682,CLOSE
28,881,25861,CLOSE
29,4341,18498,CASUAL
30,25106,20347,DISTANT
31,28136,26070,CLOSE
32,2444,9422,CASUAL
33,17265,125,CLOSE
34,24713,183,CLOSE
35,6499,23578,DISTANT
36,9944,26994,CLOSE
37,23831,20434,CLOSE
38,25947,18958,CLOSE
39,22884,19809,DISTANT
40,10973,7557,DISTANT
41,11947,14723,CLOSE
42,4139,2857,DISTANT
43,14853,7093,CLOSE
44,11464,29440,DISTANT
45,27006,21557,CLOSE
46,18492,16495,CASUAL
47,20927,22061,DISTANT
48,20844,14856,DISTANT
49,5033,9775,DISTANT
50,1584,20198,CASUAL
51,21217,13568,CASUAL
52,26220,17249,CASUAL
53,15450,3340,DISTANT
54,11793,20001,DISTANT
55,23243,18858,CLOSE
56,8817,4909,DISTANT
57,29383,18736,DISTANT
58,26795,15419,CLOSE
59,22958,27435,DISTANT
60,13283,24411,CASUAL
61,29611,26410,CLOSE
62,21554,19633,CASUAL
63,19741,26155,CLOSE
64,17873,6888,CASUAL
65,1590,7903,CLOSE
66,50,16492,CLOSE
67,22487,29099,DISTANT
68,29486,12919,DISTANT
69,10608,9549,CLOSE
70,7609,22977,DISTANT
71,13464,24071,DISTANT
72,17307,12585,CASUAL
73,14221,4346,DISTANT
74,9418,8586,DISTANT
75,22303,9774,CASUAL
76,475,6764,CLOSE
77,4187,16531,CLOSE
78,17259,25806,CASUAL
79,153,20820,DISTANT
80,26753,76,CASUAL
81,5535,12601,DISTANT
82,25790,29725,CLOSE
83,8849,6335,CLOSE
84,15565,9407,CLOSE
85,13031,10158,CLOSE
86,13582,6708,CLOSE
87,13197,24787,CASUAL
88,26151,24077,CASUAL
89,6597,18283,CLOSE
90,11736,29793,CASUAL
91,27097,6371,CLOSE
92,16381,23290,DISTANT
93,29708,11128,CASUAL
94,25404,17827,DISTANT
95,28701,25931,CLOSE
96,26934,21120,DISTANT
97,14904,15973,CLOSE
98,14801,24763,CLOSE
99,7630,10061,CASUAL
100,5903,6874,CLOSE
101,6742,28635,CLOSE
102,7699,7893,CASUAL
103,17177,7086,CLOSE
104,27913,26203,DISTANT
105,1450,27398,CLOSE
106,13321,851,DISTANT
107,20229,29538,CASUAL
108,8752,22975,CASUAL
109,4038,5243,CLOSE
110,15829,14872,CLOSE
111,7372,7112,CLOSE
112,20313,26972,DISTANT
113,20410,740,DISTANT
114,3961,19920,CASUAL
115,6536,27221,CASUAL
116,13739,16728,CLOSE
117,21831,12505,DISTANT
118,12632,15904,DISTANT
119,15600,1403,CASUAL
120,27988,8768,CLOSE
121,10791,10080,DISTANT
122,19202,7944,DISTANT
123,19599,6672,CASUAL
124,9340,21960,CLOSE
125,287,1300,CLOSE
126,4480,19015,DISTANT
127,6238,17443,CASUAL
128,5053,5846,CASUAL
129,5882,6931,CLOSE
130,12373,17870,DISTANT
131,12082,28791,CASUAL
132,26286,4848,CASUAL
133,19962,15756,DISTANT
134,20022,3629,CASUAL
135,24387,22901,CLOSE
136,16778,23785,CLOSE
137,19194,23386,CLOSE
138,9964,18527,CLOSE
139,14144,20619,DISTANT
140,6662,13779,CLOSE
141,20120,6445,CLOSE
142,20694,15104,CASUAL
