id,from_id,to_id,exposure
0,7607,6932,DISTANT
1,6829,9758,CASUAL
2,516,7591,CASUAL
3,8700,1502,CLOSE
4,8735,2552,CASUAL
5,7890,5817,CLOSE
6,7724,8234,DISTANT
7,9792,799,CLOSE
8,6184,7083,CASUAL
9,2003,4455,CASUAL
10,3171,8593,CLOSE
11,6975,9189,CASUAL
12,5342,8720,DISTANT
13,4719,7548,CLOSE
14,296,6054,CASUAL
15,6275,3688,CASUAL
16,1973,3151,CASUAL
17,2117,3761,CASUAL
18,9535,103,DISTANT
19,6257,2772,CASUAL
20,1809,9891,DISTANT
21,2829,211,CLOSE
22,7629,375,CLOSE
23,950,2676,CASUAL
24,1874,5905,DISTANT
25,9261,5287,DISTANT
26,5818,7122,DISTANT
27,1520,8104,DISTANT
28,944,344,CASUAL
29,7107,6416,CLOSE
30,2398,9894,DISTANT
31,6927,4846,DISTANT
32,3205,5166,CASUAL
33,2506,1898,DISTANT
34,5725,9882,CLOSE
35,275,4315,DISTANT
36,1217,4754,CLOSE
37,1355,7735,CASUAL
38,3793,1430,DISTANT
39,9443,2050,CASUAL
40,1681,7482,CASUAL
41,3065,5614,CLOSE
42,982,3750,CASUAL
43,1176,4002,CASUAL
44,2037,5105,CLOSE
45,1001,6572,DISTANT
46,2656,4529,CASUAL
47,5350,6111,CLOSE
48,3901,813,CLOSE
49,7887,493,DISTANT
50,9672,5317,CLOSE
51,6332,9894,CASUAL
52,3009,5199,CLOSE
53,3814,3251,CASUAL
54,478,3804,DISTANT
55,2180,456,CLOSE
56,2949,4413,CLOSE
57,6965,198,DISTANT
58,7446,314,CASUAL
59,8481,6624,DISTANT
60,9135,7214,CASUAL
61,3238,1342,CLOSE
62,9178,3464,CLOSE
63,1478,6660,DISTANT
64,2206,7046,CASUAL
65,7374,3269,CLOSE
66,9693,8431,CLOSE
67,8513,7333,DISTANT
68,4952,6039,DISTANT
69,3417,8518,CLOSE
70,5258,9467,DISTANT
71,1218,9028,CASUAL
72,2911,875,CASUAL
73,1336,467,DISTANT
74,2993,8836,CLOSE
75,3565,1647,DISTANT
76,5393,1829,DISTANT
77,3379,2865,CLOSE
78,4050,9424,CASUAL
79,3296,2378,CLOSE
80,5804,4905,CASUAL
81,6763,6828,CASUAL
82,6408,7325,CASUAL
83,2385,8950,CASUAL
84,8066,8063,CASUAL
85,1840,8856,DISTANT
86,2365,5393,CLOSE
87,9850,6481,CASUAL
88,1581,9275,DISTANT
89,1560,7332,CLOSE
90,6526,7148,CASUAL
91,6032,9645,CLOSE
92,61,1851,CLOSE
93,3890,8458,CLOSE
94,9154,5149,CLOSE
95,9857,1314,DISTANT
96,6088,3288,CASUAL
97,4311,5863,CASUAL
98,1122,146,CLOSE
99,1989,489,DISTANT
100,1636,1615,CLOSE
101,2625,832,CLOSE
102,5161,9177,CLOSE
103,9868,3958,DISTANT
104,7816,2165,CASUAL
105,4349,3449,CLOSE
106,343,2537,DISTANT
107,4690,3291,CASUAL
108,2516,6533,DISTANT
109,1708,7985,CASUAL
110,549,5867,DISTANT
111,1402,5345,CASUAL
112,8676,6885,CLOSE
113,5320,4044,DISTANT
114,7081,2776,CLOSE
115,3776,7207,CASUAL
116,8113,9780,CASUAL
117,9241,7633,CASUAL
118,844,854,CASUAL
119,5864,6373,DISTANT
120,5006,828,DISTANT
121,2353,4920,CLOSE
122,5778,2774,CASUAL
123,4168,3987,DISTANT
124,4704,2138,CLOSE
125,1517,9627,CLOSE
126,1800,2735,DISTANT
127,1827,8991,DISTANT
128,1040,3700,CASUAL
129,7259,7757,CASUAL
130,601,5312,DISTANT
131,9533,7617,DISTANT
132,9944,9224,CASUAL
133,7525,8976,CLOSE
134,1495,1446,CASUAL
135,7965,9950,CASUAL
136,6842,5808,CASUAL
137,7262,594,CLOSE
138,4024,7886,CLOSE
139,1456,9446,DISTANT
140,7688,4786,CLOSE
141,8277,5451,CLOSE
142,2377,9993,DISTANT
143,5433,5568,CLOSE
144,5513,1177,DISTANT
145,6312,2304,CLOSE
146,9146,3721,CLOSE
147,9634,3140,CASUAL
148,121,7883,CLOSE
149,5667,8650,DISTANT
150,2725,3244,CLOSE
151,7297,8975,CASUAL
152,7157,7139,CLOSE
153,7429,6123,CLOSE
154,8476,802,CASUAL
155,6683,1680,DISTANT
156,995,2096,CLOSE
157,6429,785,CASUAL
158,3657,1697,CLOSE
159,2311,5635,CASUAL
160,8272,1759,DISTANT
161,4154,741,DISTANT
162,1137,321,CASUAL
163,789,5965,CLOSE
164,1457,8616,CASUAL
165,4016,1110,CLOSE
